country,country_iso,region,year,oil_&_gas_production_boe/day,oil_production_boe/day,gas_production_boe/day,oil_&_gas_reserves_boe
Mexico,MEX,Latin America/Caribbean,2016-01-01,3.18360866e+06,2.455799498e+06,727809.1623,8.450399907e+09
Mexico,MEX,Latin America/Caribbean,2017-01-01,2.90258732e+06,2.22415016e+06,678437.16,8.450399907e+09
Mozambique,MOZ,Sub-Saharan Africa,2011-01-01,54712.33,0,54712.33,
Mozambique,MOZ,Sub-Saharan Africa,2012-01-01,64191.78,0,64191.78,
Mozambique,MOZ,Sub-Saharan Africa,2013-01-01,63287.67,0,63287.67,
Mozambique,MOZ,Sub-Saharan Africa,2014-01-01,70136.99,0,70136.99,
Mozambique,MOZ,Sub-Saharan Africa,2015-01-01,74950.68,0,74950.68,
Mozambique,MOZ,Sub-Saharan Africa,2016-01-01,75800,0,75800,
Mozambique,MOZ,Sub-Saharan Africa,2017-01-01,75994.52,0,75994.52,
Myanmar,MMR,Asia-Pacific,2011-01-01,214997.8318,5748.706,209249.1258,1.366347541e+09
Myanmar,MMR,Asia-Pacific,2012-01-01,213130.8502,4530.679,208600.1712,1.749907463e+09
Myanmar,MMR,Asia-Pacific,2013-01-01,218350.3873,3917.26,214433.1273,3.26007751e+09
Myanmar,MMR,Asia-Pacific,2014-01-01,279121.5734,3293.5370000000003,275828.0364,3.265327261e+09
Myanmar,MMR,Asia-Pacific,2015-01-01,323240.0787,2836.362,320403.7167,3.265327261e+09
Myanmar,MMR,Asia-Pacific,2016-01-01,307297.2095,2509.748,304787.4615,7.346986244e+09
Myanmar,MMR,Asia-Pacific,2017-01-01,302083.0107,2316.0029999999997,299767.0077,7.346986244e+09
Namibia,NAM,Sub-Saharan Africa,2011-01-01,,0,0,
Namibia,NAM,Sub-Saharan Africa,2012-01-01,,0,0,
Namibia,NAM,Sub-Saharan Africa,2013-01-01,,0,0,
Namibia,NAM,Sub-Saharan Africa,2014-01-01,,0,0,
Namibia,NAM,Sub-Saharan Africa,2015-01-01,,0,0,
Namibia,NAM,Sub-Saharan Africa,2016-01-01,,0,0,
Namibia,NAM,Sub-Saharan Africa,2017-01-01,,0,0,
