company,country_iso,year,capital_expenditures_usd_million,operational_expenditures_usd_million,total_revenue_usd_million,oil_gas_&product_sales_usd_million,net_income_from_all_revenues_usd_million,total_assets_usd_million,current_assets_usd_million,total_liabilities_usd_million,total_transfers_to_government_usd_million,royalties_usd_million,income_tax_usd_million
Nilepet,SSD,2014-01-01,,,,,,,,,,,
Nilepet,SSD,2015-01-01,,,,,,,,,,,
Nilepet,SSD,2016-01-01,,,,,,,,,,,
Nilepet,SSD,2017-01-01,,,,,,,,,,,
NIOC,IRN,2011-01-01,,,,,,,,,,,
NIOC,IRN,2012-01-01,,,,,,,,,,,
NIOC,IRN,2013-01-01,,,,,,,,,,,
NIOC,IRN,2014-01-01,,,,,,,,,,,
NIOC,IRN,2015-01-01,,,,,,,,,,,
NIOC,IRN,2016-01-01,,,,,,,,,,,
NIOC,IRN,2017-01-01,,,,,,,,,,,
NNPC,NGA,2011-01-01,,,,45560.405,,,,,4.75649021e+06,,
NNPC,NGA,2012-01-01,,,,41932.513,,,,,4.23563343e+06,,
NNPC,NGA,2013-01-01,,,,42045.66334,,,,,3.51996218e+06,,
NNPC,NGA,2014-01-01,,,,35604.555,,,,,3.69866814e+06,,
NNPC,NGA,2015-01-01,,,,16724.84776,,,,,1.83125538e+06,,
NNPC,NGA,2016-01-01,,,,,,,,,,,
NNPC,NGA,2017-01-01,,,,,,,,,,,
NOC Libya,LBY,2011-01-01,,,,,,,,,,,
NOC Libya,LBY,2012-01-01,,,,,,,,,,,
NOC Libya,LBY,2013-01-01,,,,,,,,,,,
NOC Libya,LBY,2014-01-01,,,,,,,,,,,
NOC Libya,LBY,2015-01-01,,,,,,,,,,,
NOC Libya,LBY,2016-01-01,,,,,,,,,,,
NOC Libya,LBY,2017-01-01,,,,,,,,,,,
NOCAL,LBR,2011-01-01,,,,,,,,,,,
NOCAL,LBR,2012-01-01,,,,,,,,,,,
NOCAL,LBR,2013-01-01,7.093458,19.7060754,26.15698018,,9.25090478,,,,,,
NOCAL,LBR,2014-01-01,2.898198,23.87857692,26.71768560000001,,4.58910868,,,,,,
NOCAL,LBR,2015-01-01,,,,,,,,,,,
NOCAL,LBR,2016-01-01,,,,,,,,,,,
NOCAL,LBR,2017-01-01,,,,,,,,,,,
ONGC,IND,2011-01-01,5867.822192000001,13705.21972,33403.07289,32174.84433,19697.85317,49750.70609,13092.43133,20039.59606,10297.4189,3327.929011,2738.060472
ONGC,IND,2012-01-01,7482.704006999998,15428.66179,32063.57989,30860.018330000014,16634.9181,47431.46795,10336.70581,18523.8675,9335.567463,2567.685328,2323.519431
ONGC,IND,2013-01-01,5244.749151,15377.86916,31587.33887,30195.00098,16209.4697,55332.80527999999,10774.9146,25457.38464,8526.519423,2561.561759,1803.250772
ONGC,IND,2014-01-01,5913.024267,13511.24955,28234.552010000003,26961.15174,14723.30245,55430.90601,9329.453708,25457.28741,7963.499761,2317.747425,1479.486455
ONGC,IND,2015-01-01,5091.069378,9617.900208,23374.17848,21931.55658,13756.27828,55526.18085,9160.639555,26337.50394,7473.748771,1599.857976,1188.744015
ONGC,IND,2016-01-01,4481.0268369999985,8700.830096,20189.53322,20062.08385,11488.70312,36795.64536,4450.798538,9183.841465,4980.113812,1333.292402,1088.69796
ONGC,IND,2017-01-01,4300.633505,8776.61598,21828.25183,21723.66283,13051.63585,44720.69486,3304.058924,15017.83542,5698.600524,1777.414187,1373.924214
OOC,OMN,2011-01-01,,,,,,,,,,,
OOC,OMN,2012-01-01,,,,,,,,,,,
OOC,OMN,2013-01-01,,,,,,,,,,,
OOC,OMN,2014-01-01,,,,,,,,,,,
OOC,OMN,2015-01-01,,,,,,,,,,,
OOC,OMN,2016-01-01,,,,,,,,,,,
OOC,OMN,2017-01-01,,,,,,,,,,,
Orsted,DNK,2011-01-01,2964.398421,8032.094798999998,12019.27121,1849.792066,3987.176413,28570.91483,9129.006034,17871.69964,1194.90024,,680.6102314
Orsted,DNK,2012-01-01,2616.670524,10278.67958,12149.38234,2049.382846,1870.702764,26561.70044,8365.162648,18522.65052,735.9577391,,163.833234
Orsted,DNK,2013-01-01,3037.224597,10325.99386,13563.52786,2254.860611,3237.533993,25887.45214,8562.202862999999,16759.57555,377.4719279,,180.7235881
Orsted,DNK,2014-01-01,1271.4552130000004,9598.097093,14174.87261,3243.850001,4576.775512,26710.89361,10497.87972,15747.26502,1365.175146,,736.9308801
Orsted,DNK,2015-01-01,2483.68481,8250.708784999999,12871.01652,2237.099945,4620.307739,21532.99735,8924.023698,14059.05319,908.9008147,,523.7884661999999
Orsted,DNK,2016-01-01,1169.835055,6736.170212000001,10509.79814,2508.572010000001,3773.627925,17991.840330000006,7060.901568000001,9727.828394,254.7640787,,254.7640787
Orsted,DNK,2017-01-01,190.6739835,7372.676881,11453.61505,2671.707501000001,4080.938174,21790.29553,9391.034449,11215.38616,477.2945704,,269.2758878
PCJ,JAM,2011-01-01,18.85267963,1406.821255,1421.151896,0,14.33064117,241.4566587,33.78812362,241.4566587,1.055610723,,1.055610723
PCJ,JAM,2012-01-01,3.072226707,1803.793568,1823.766338,0,19.97276933,261.6759066,49.68569495,261.6759066,4.926088817,,4.926088817
PCJ,JAM,2013-01-01,1.176344356,1608.126261,1636.154797,0,26.85219128,265.68043240000003,69.22264492,265.68043240000003,6.242113035,,6.242113035
PCJ,JAM,2014-01-01,1.925739458,1682.26283,1713.365166,0,29.17659654,250.9637009,72.53731603,250.9637009,5.426516023,,5.426516023
PCJ,JAM,2015-01-01,9.455216299,1335.237893,1348.857224,0,13.61933122,241.6348186,70.66651235,241.6348186,3.422217681,,3.422217681
PCJ,JAM,2016-01-01,,,,,,,,,,,
